Date,Actual_Open_Price,Predicted_Open_Price
2004-11-12,4.613458,4.510482325594306
2004-11-15,4.494404,4.56451851407969
2004-11-16,4.420929,4.737476614729166
2004-11-17,4.209721,4.54305139770472
2004-11-18,4.241352,4.329126125286698
2004-11-19,4.211713,4.20060086222732
2004-11-22,4.096396,4.342679516557336
2004-11-23,4.183569,4.393918612548947
2004-11-24,4.354179,4.393350097814441
2004-11-26,4.378588,4.3636895470857615
2004-11-29,4.492162,4.621304039821148
2004-11-30,4.50088,4.827918212753415
2004-12-01,4.531764,5.027050731779576
2004-12-02,4.480705,5.159614723512888
2004-12-03,4.481951,5.2709367307060955
2004-12-06,4.461527,5.368612110212207
2004-12-07,4.383569,5.415369036036968
2004-12-08,4.242847,5.382408825789213
2004-12-09,4.240356,5.296392546458363
2004-12-10,4.319559,5.2314113123042585
2004-12-13,4.288177,5.293561343080521
2004-12-14,4.259036,5.355659070501209
2004-12-15,4.433134,5.2369486458183525
2004-12-16,4.407231,5.082608265694499
2004-12-17,4.402498,5.026727815410376
2004-12-20,4.533009,5.050007356758952
2004-12-21,4.640357,5.044424542066097
2004-12-22,4.580332,5.1252082117805475
2004-12-23,4.66875,5.250399704436779
2004-12-27,4.711092,5.3638775195032355
2004-12-28,4.784815,5.393579003292799
2004-12-29,4.776596,5.44361967022407
2004-12-30,4.806235,5.538986879908085
2004-12-31,4.962151,5.5632078816570045
2005-01-03,4.916571,5.487740961739659
2005-01-04,5.016198,5.201250468609214
2005-01-05,4.81819,4.974499503780723
2005-01-06,4.858788,4.982597427659035
2005-01-07,4.748203,4.96274944124794
2005-01-10,4.844342,4.937000271892667
2005-01-11,4.872238,4.981615034197807
2005-01-12,4.840108,5.04231194131267
2005-01-13,4.8662600000000005,5.045190899928212
2005-01-14,4.881702,5.06380179827702
2005-01-18,5.005488,5.037231693645119
2005-01-19,5.097144999999999,4.942812766538262
2005-01-20,4.794529000000001,4.894677760997057
2005-01-21,4.845338,4.904210616065264
2005-01-24,4.699635,4.88809436037147
2005-01-25,4.531515,4.667728953040958
2005-01-26,4.465014,4.502293439358473
2005-01-27,4.701378,4.44523730060339
2005-01-28,4.73276,4.627118808525681
2005-01-31,4.824168,4.710453972368598
2005-02-01,4.841352999999999,4.818651422580957
2005-02-02,5.368627,4.62974762065804
2005-02-03,5.13052,4.103826010060668
2005-02-04,5.142475,4.342634035378575
2005-02-07,5.112338,4.632642497686148
2005-02-08,4.905612999999999,4.749933909591674
2005-02-09,5.000258,4.767028010628819
2005-02-10,4.781328,4.562471861035466
2005-02-11,4.649074,4.277827903762698
2005-02-14,4.55418,4.271342287671446
2005-02-15,4.821926,3.6342442096529006
2005-02-16,4.849324,3.6307057739453317
2005-02-17,4.927280999999999,4.113154199824453
2005-02-18,4.944218,4.6394896891485455
2005-02-22,4.894156,4.985812946997404
2005-02-23,4.814453999999999,4.978447270097137
2005-02-24,4.567131,4.809516527826905
2005-02-25,4.711092,4.347921222409487
2005-02-28,4.632636,4.481995189277649
2005-03-01,4.714579,4.881235798614383
2005-03-02,4.63139,5.183483246126413
2005-03-03,4.635874,5.3990026338599915
2005-03-04,4.65007,5.532301146630287
2005-03-07,4.67697,5.630902068124175
2005-03-08,4.709846,5.665811146881818
2005-03-09,4.588053,5.676956309737086
2005-03-10,4.508352,5.548274136610985
2005-03-11,4.494155,5.394106584966421
2005-03-14,4.441602,5.352502676695227
2005-03-15,4.366135,5.2437435339251754
2005-03-16,4.401004,5.157579440763354
2005-03-17,4.411714,5.177181828809142
2005-03-18,4.453557,5.195483455142378
2005-03-21,4.465014,5.226478878467679
2005-03-22,4.512586,5.234265256271481
2005-03-23,4.432635,5.26167903676939
2005-03-24,4.500631,5.300656406967163
2005-03-28,4.525039,5.364689358544111
2005-03-29,4.509348,5.296149222151994
2005-03-30,4.499136,5.244293856188178
2005-03-31,4.432137,5.231045188815236
2005-04-01,4.527032,5.216002288940191
2005-04-04,4.481951,5.219811337661385
2005-04-05,4.675724,5.194894473877429
2005-04-06,4.713333,5.17630859017694
2005-04-07,4.701876,5.2608603755517
2005-04-08,4.824168,5.252178018526315
2005-04-11,4.809224,5.316727181482196
2005-04-12,4.806982,5.380971620540381
